NMF,NAD,CFC,NCC,NMC,a2a
47,28,23,1884,24,3.846153846
49,21,30,1360,20,5.504587156
21,0,0,0,0,100
10,6,98,4014,35,82.40740741
15,8,13,791,13,84.7826087
3,0,0,162,0,100
62,25,132,3057,24,7.042253521
67,32,221,6087,52,7.947019868
65,25,237,6966,65,7.947019868
6,4,27,1866,25,89.43661972
71,32,215,5692,41,14.94252874
3,0,6,457,3,100
9,0,14,657,5,95.05494505
71,31,234,6423,50,6.097560976
80,39,229,6943,45,8.839779006
78,31,239,7263,55,8.839779006
80,39,229,6943,45,8.839779006
15,5,43,2067,31,80.39215686
0,0,0,0,0,100
0,0,0,0,0,100
7,3,94,2605,26,80.55555556
14,2,37,1188,9,82.53968254
2,0,2,58,2,100
55,0,545,22009,134,30.44982699
35,35,285,13608,174,71.68367347
0,0,0,0,0,100
4,0,0,0,0,100
57,2,548,20081,137,45.34313725
1,1,2,639,2,96.03960396
6,0,194,6352,121,98.03921569
5,0,24,807,13,98.28850856
8,1,28,910,16,96.74418605
7,0,6,172,0,100
4,2,9,440,7,96.37188209
3,3,131,5427,72,98.39816934
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,1,55,2047,19,97.99554566
9,3,38,2426,21,97.35099338
1,0,0,361,0,100
1,0,0,6,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,2,11,310,11,98.21826281
6,1,42,815,15,99.33035714
0,0,0,0,0,100
3,0,89,1152,66,97.33333333
10,3,3,815,3,93.12638581
10,7,3,815,3,93.12638581
0,0,0,0,0,100
2,0,2,16,0,100
1,0,8,117,1,100
5,0,9,437,7,100
3,0,10,133,1,100
19,7,10,456,2,90.13157895
3,0,10,133,1,100
2,0,19,570,8,100
3,0,0,0,0,100
1,0,0,57,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,2,49,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,7,838,5,98.03921569
4,2,9,877,6,98.03921569
17,5,90,3892,40,93.11064718
0,0,0,0,0,100
31,8,80,3697,25,89.5049505
32,7,82,3809,26,89.5049505
0,0,0,0,0,100
33,8,82,3755,26,89.5049505
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,17,0,100
15,0,33,976,24,92.36947791
41,13,128,5228,60,84.98985801
40,8,128,5228,60,85.59837728
28,3,92,3962,43,92.85714286
3,0,75,498,74,97.59036145
1,1,0,11,0,99.6
14,2,20,1680,8,93.77358491
1,0,2,300,1,100
1,0,1,62,0,99.82078853
1,0,0,135,0,100
1,0,0,0,0,100
10,0,56,10053,72,92.83154122
0,0,0,0,0,100
13,0,1,12,1,100
0,0,0,0,0,100
16,1,4,381,0,97.49552773
13,0,1,12,1,100
0,0,0,0,0,100
0,0,0,0,0,100
12,1,4,316,1,95.89552239
8,0,34,1780,6,92.76190476
20,3,47,2342,52,87.36263736
3,0,11,529,2,100
3,0,3,596,3,100
6,0,8,585,3,99.64285714
0,0,0,0,0,100
4,3,56,5723,33,95.32258065
2,0,0,0,0,100
10,2,9,781,4,98.52724595
2,0,0,14,0,95.67233385
0,0,0,0,0,100
3,0,6,221,3,100
1,1,13,1634,12,95.1986755
2,0,0,86,0,98.99497487
0,0,0,0,0,100
7,1,13,1049,5,98.99833055
3,2,12,1093,12,98.49749583
4,0,0,7,0,99.32885906
21,4,17,530,1,89.05472637
14,3,20,1696,13,95.90163934
8,0,6,354,2,97.55700326
0,0,0,0,0,100
19,3,83,988,66,89.79238754
17,4,101,2295,76,87.82051282
22,2,105,2391,80,87.09677419
2,0,0,0,0,100
17,4,101,2295,76,87.98701299
23,4,97,2199,72,87.09677419
5,0,4,96,4,98.68913858
17,4,101,2295,76,87.98701299
10,2,2,210,3,94.44444444
0,0,0,0,0,100
2,0,5,138,1,100
13,1,30,2185,18,96.01837672
1,0,0,1,0,100
5,0,0,28,0,100
2,0,7,434,2,100
3,0,33,1565,7,100
2,0,3,48,1,100
2,0,0,2,0,100
9,1,3,64,1,99.375
2,0,3,46,1,100
1,0,7,412,4,100
45,0,0,0,0,100
2,0,2,31,0,99.22600619
6,0,3,467,1,99.07407407
2,0,2,31,0,99.23076923
2,0,0,0,0,100
5,0,21,402,6,100
3,0,0,0,0,100
1,0,0,13,0,99.84756098
10,3,20,1189,11,94.1089838
4,0,10,753,3,100
1,1,23,2181,14,95.93613933
1,0,0,0,0,100
2,0,7,300,5,100
1,0,0,9,0,100
5,0,0,50,0,100
1,0,0,10,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,82,1,100
2,0,3,45,1,100
1,0,2,82,1,100
7,2,41,1194,11,90
8,0,41,1194,11,90
7,2,41,1194,11,90
0,0,0,0,0,100
1,0,0,0,0,100
6,0,5,192,3,100
0,0,0,0,0,100
2,0,0,30,0,100
0,0,0,0,0,100
6,0,5,258,4,100
6,2,1,109,1,93.20557491
0,0,0,0,0,100
2,0,4,402,2,100
4,1,19,1929,11,93.84615385
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,1,79,3504,21,99.34318555
1,0,10,169,10,100
2,0,30,852,0,100
5,2,24,2196,12,98.2171799
5,0,24,2196,12,98.2171799
5,2,24,2196,12,98.2171799
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
1,0,0,0,0,100
17,7,39,2574,23,95.44159544
11,2,42,1597,25,99.11054638
3,0,17,1724,12,99.74747475
1,0,0,5,0,100
0,0,0,0,0,100
6,0,4,700,3,99.13793103
0,0,0,0,0,100
172,8,667,19391,89,57.96344648
4,0,0,0,0,100
3,0,1,9,1,99.57081545
1,0,0,21,0,100
5,0,7,1305,4,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,6,191,2,100
12,0,24,1346,22,98.69375907
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,164,1,100
10,0,18,1577,10,99.55621302
0,0,0,0,0,100
1,0,1,17,0,100
2,0,5,115,4,100
0,0,0,0,0,100
2,0,8,205,7,100
2,1,2,379,2,99.70326409
21,1,23,418,20,96.60265879
6,3,49,3896,17,98.83211679
8,0,47,3841,17,98.83211679
28,3,66,3217,27,94.19087137
29,0,547,25486,262,84.53608247
1,0,0,5,0,100
16,2,15,688,10,99.36628644
8,2,27,3892,27,97.79681763
6,0,7,309,7,100
1,0,0,58,0,100
0,0,0,0,0,100
7,1,2,233,2,94.86215539
14,0,5,450,2,99.47089947
4,1,31,2049,16,99.60422164
7,0,2,160,1,100
2,0,0,10,0,100
3,1,10,1323,4,99.20844327
28,0,72,3766,47,97.16216216
10,1,93,7463,47,96.79218968
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,0,3,70,5,100
7,0,7,390,4,99.00990099
0,0,0,0,0,100
3,0,4,233,2,99.57446809
0,0,0,0,0,100
9,3,46,3714,16,98.73595506
3,1,14,719,4,99.44521498
2,0,14,719,4,99.44521498
3,0,4,233,2,99.58275382
0,0,0,0,0,100
3,0,5,256,1,100
0,0,0,0,0,100
150,0,5,256,1,100
152,2,29,1575,14,99.31034483
3,0,7,256,0,98.90410959
3,0,25,1352,14,99.31034483
3,2,25,1352,14,99.31034483
4,0,4,177,0,100
155,4,27,1838,11,98.37177748
3,0,5,256,1,100
0,0,0,0,0,100
0,0,0,0,0,100
17,0,70,3051,21,98.39786382
4,0,4,177,0,100
11,4,32,3476,18,98.41688654
1,0,4,153,1,100
3,0,2,119,1,100
2,0,1,1,1,100
3,0,7,402,3,100
1,0,0,34,0,100
3,0,0,8,0,100
3,1,19,2748,17,99.7382199
12,0,9,1340,9,99.47984395
2,0,0,6,0,100
5,1,1,66,1,99.48320413
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
18,0,12,761,3,100
3,1,1,87,0,99.61439589
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,17,0,100
1,0,1,17,0,100
6,0,10,14,2,100
0,0,0,0,0,100
26,0,3,834,5,99.61439589
27,1,4,851,5,99.61439589
1,0,0,28,0,100
1,0,0,0,0,100
6,0,3,52,2,100
30,0,7,931,7,99.61439589
30,1,7,931,7,99.61439589
6,0,3,58,2,100
5,0,4,97,2,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,1,107,0,99.22580645
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,6,399,4,100
3,0,6,399,4,100
3,0,6,399,4,100
13,1,16,1974,14,99.48253558
15,0,16,1957,14,99.48253558
15,1,16,1957,14,99.48253558
0,0,0,0,0,100
2,0,0,17,0,100
4,0,0,14,1,100
0,0,0,0,0,100
3,0,0,38,0,100
0,0,0,0,0,100
1,0,0,11,0,100
0,0,0,0,0,100
6,0,3,32,0,99.87113402
6,0,3,32,0,99.87113402
7,0,2,153,1,100
4,0,0,75,0,100
12,0,6,514,3,100
0,0,0,0,0,100
12,0,6,528,3,99.87113402
1,0,1,135,1,100
3,0,0,31,0,100
4,0,2,58,0,100
1,0,0,2,0,100
18,0,10,434,4,99.87113402
0,0,0,0,0,100
19,6,81,5873,39,96.56925032
0,0,0,0,0,100
0,0,0,0,0,100
3,0,1,70,0,100
34,0,102,6984,55,96.44218551
1,0,0,0,0,100
36,6,91,6307,43,96.44218551
0,0,0,0,0,100
5,0,5,190,3,100
3,0,1,70,0,100
3,0,1,70,0,100
3,0,1,70,0,100
3,0,1,70,0,100
3,0,1,70,0,100
4,0,2,109,0,100
3,0,1,70,0,100
1,0,1,39,0,100
4,0,0,23,1,100
6,0,3,149,1,100
8,0,1,32,2,100
8,0,0,11,1,100
8,0,4,193,1,100
5,5,31,1922,18,98.51851852
0,0,0,0,0,100
0,0,0,0,0,100
3,1,5,288,4,99.75728155
0,0,0,0,0,100
13,0,34,2036,22,98.27586207
3,0,0,46,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
17,6,34,2006,22,98.27586207
20,0,32,1922,21,98.27586207
3,0,2,95,2,100
1,0,2,86,1,100
11,0,0,120,1,100
0,0,0,0,0,100
11,0,0,120,1,100
12,0,1,61,2,99.87468672
0,0,0,0,0,100
33,8,54,2996,33,97.55201958
1,0,0,5,0,100
1,0,1,39,0,100
3,0,0,0,0,100
8,0,57,3375,33,97.6744186
24,0,2,345,0,99.87468672
24,0,2,335,0,99.87468672
26,0,3,933,0,99.87468672
1,0,0,10,0,100
12,0,1,510,0,100
1,0,0,0,0,100
27,0,2,433,0,99.87468672
27,0,2,433,0,99.87468672
3,0,8,541,4,100
3,0,8,541,4,100
3,0,8,541,4,100
14,0,4,282,9,100
8,0,8,639,4,100
19,0,18,447,17,100
8,0,8,639,4,100
13,0,10,192,13,100
13,0,10,181,13,100
1,0,0,0,0,100
6,0,12,357,13,100
1,0,0,36,0,100
2,0,0,31,0,100
1,0,0,0,0,100
1,0,0,0,0,100
4,0,0,28,0,100
0,0,0,0,0,100
0,0,0,0,0,100
13,0,14,800,13,100
0,0,0,0,0,100
13,0,14,800,13,100
17,0,12,575,12,100
0,0,0,0,0,100
20,0,15,694,13,100
0,0,0,0,0,100
16,0,17,919,14,100
16,0,14,861,13,100
3,0,3,119,1,100
1,0,0,4,0,100
1,0,0,2,0,100
0,0,0,0,0,100
5,0,2,225,1,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
4,0,0,13,0,100
4,0,0,13,0,100
4,0,0,13,0,100
7,0,51,1803,14,100
1,0,0,8,0,100
0,0,0,0,0,100
31,0,32,583,1,100
31,0,32,583,1,100
0,0,0,0,0,100
4,0,2,145,1,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,3,113,0,100
0,0,0,0,0,100
7,0,23,946,15,97.03791469
0,0,0,0,0,100
5,0,2,402,3,100
0,0,0,0,0,100
8,2,34,1222,22,99.44071588
0,0,0,0,0,100
0,0,0,0,0,100
20,0,62,2683,40,96.46226415
20,2,62,2683,40,96.46226415
25,0,56,2397,40,96.46226415
26,2,56,2397,40,96.46226415
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,11,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,4,77,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,0,3,173,0,100
0,0,0,0,0,100
15,0,5,4,2,100
13,0,8,239,0,100
5,0,1,121,0,99.88888889
1,0,1,34,1,100
2,0,3,243,2,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,4,331,3,99.88888889
5,0,4,331,3,99.88888889
2,0,0,20,0,100
5,0,4,331,3,99.88888889
8,0,8,995,7,99.88888889
5,0,4,331,3,99.88888889
5,0,4,331,3,99.88888889
5,0,4,331,3,99.88888889
5,0,4,331,3,99.88888889
8,0,1,555,4,100
5,0,4,684,4,100
1,0,0,1,0,99.88888889
8,0,0,84,1,97.31759657
0,0,0,0,0,100
1,0,1,141,1,100
0,0,0,0,0,100
1,0,5,14,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,19,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,3,128,0,99.89626556
8,2,2,199,0,96.3273872
1,0,0,2,0,100
0,0,0,0,0,100
19,0,2,331,2,93.84098544
15,2,1,559,3,94.49339207
15,0,2,485,3,94.49339207
15,2,1,557,3,94.27312775
1,0,0,74,0,99.79466119
0,0,0,0,0,100
7,0,4,145,2,98.33159541
6,0,2,226,1,98.4358707
0,0,0,0,0,100
1,0,0,108,0,100
0,0,0,0,0,100
3,0,2,606,2,100
0,0,0,0,0,100
60,0,54,5207,54,93.90519187
0,0,0,0,0,100
0,0,0,0,0,100
61,4,56,5486,57,93.20619785
0,0,0,0,0,100
2,0,1,39,1,100
0,0,0,0,0,100
3,0,28,616,11,99.88636364
0,0,0,0,0,100
3,0,0,119,0,100
0,0,0,0,0,100
4,0,29,774,10,99.88636364
2,0,1,39,1,100
3,0,28,616,11,99.88636364
3,0,0,119,0,100
21,0,38,2422,15,93.82448537
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
21,2,38,2472,15,93.82448537
0,0,0,0,0,100
1,0,2,97,0,100
21,0,36,2375,15,93.82448537
0,0,0,0,0,100
21,2,37,2386,15,93.82448537
2,0,2,47,0,100
1,0,1,30,0,100
2,0,2,47,0,100
0,0,0,0,0,100
2,0,4,115,1,100
0,0,0,0,0,100
6,0,0,161,0,95.04132231
1,0,0,72,0,95.34161491
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
23,0,42,2764,16,93.37676439
25,2,41,2653,16,93.37676439
2,0,0,8,0,100
2,0,0,8,0,100
2,0,0,8,0,100
25,0,41,2645,16,93.37676439
0,0,0,0,0,100
25,2,33,1813,12,93.37676439
4,0,14,619,13,100
4,0,14,619,13,100
4,0,14,619,13,100
25,0,47,2432,25,93.37676439
24,2,42,2799,16,93.66812227
12,0,5,332,9,100
0,0,0,0,0,100
4,0,7,276,3,100
0,0,0,0,0,100
1,0,0,0,0,100
5,0,7,275,3,100
2,0,0,10,0,100
7,0,7,285,3,100
2,0,0,0,0,100
3,0,1,7,0,100
26,0,53,2736,28,93.66812227
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
28,2,53,2803,28,93.66812227
0,0,0,0,0,100
2,0,0,50,0,100
13,1,10,466,8,99.42462601
10,0,1,60,0,100
11,0,1,110,0,100
11,0,1,89,0,100
11,0,1,110,0,100
6,0,1,122,1,98.85583524
16,0,1,28,0,98.85583524
11,0,1,110,0,100
2,0,0,0,0,100
12,0,0,151,0,99.8853211
3,0,0,0,0,100
11,0,5,170,0,99.5412844
4,0,0,0,0,100
38,0,69,3727,37,93.36235038
38,3,67,3657,35,93.36235038
4,0,0,0,0,100
38,0,69,3727,37,93.36235038
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
34,3,65,3503,36,95.1496388
26,0,3,275,0,93.70932755
3,0,3,154,2,100
0,0,0,0,0,100
2,0,3,146,2,100
3,0,3,114,2,100
2,0,3,146,2,100
9,0,6,208,3,93.77729258
4,0,0,0,0,100
41,0,78,4105,42,95.01557632
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
32,4,63,3218,32,93.11111111
2,0,0,11,0,100
34,1,31,1571,17,94.345898
0,0,0,0,0,100
1,0,0,5,0,100
18,0,22,828,11,99.06735751
4,0,0,0,0,100
176,1,895,29328,88,28.12858783
1,0,0,4,0,100
0,0,0,0,0,100
153,0,898,39545,91,24.72727273
64,1,80,3958,44,93.45692475
325,154,1560,166126,1149,29.5194508
1,0,0,4,0,100
0,0,0,0,0,100
331,157,1649,182477,1207,27.87258248
334,157,1715,178155,1247,27.74631937
1,0,0,0,0,100
20,0,33,1072,18,96.81933842
0,0,0,0,0,100
20,3,33,1014,18,96.81933842
23,0,33,1014,18,96.81933842
23,3,35,1141,18,96.81933842
328,151,1744,182781,1245,29.38496583
328,157,1545,167234,1147,29.38496583
1,0,2,13,0,100
4,0,0,0,0,100
4,0,0,0,0,100
4,0,0,0,0,100
92,0,22,542,29,93.2346723
0,0,0,0,0,100
93,0,20,715,29,93.02325581
93,0,24,459,29,93.02325581
3,0,1,29,0,100
4,0,0,0,0,100
94,0,22,753,30,93.02325581
94,0,21,485,28,93.2346723
328,151,1722,180366,1229,40.13539652
328,157,1512,163828,1123,40.13539652
4,0,191,7030,91,98.9021043
129,0,0,14,0,99.7235023
328,155,1432,162423,1066,38.791423
324,153,1775,167119,1244,31.73277662
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,0,0,100
5,0,0,0,0,100
4,0,0,0,0,100
4,0,0,0,0,100
4,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,0,0,100
4,0,0,0,0,100
0,0,0,0,0,100
4,0,0,8,0,100
8,0,0,8,0,100
8,0,0,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,0,0,100
1,0,0,43,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,1,0,100
6,0,0,34,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,2,257,1,100
0,0,0,0,0,100
5,0,1,232,1,98.12695109
0,0,0,0,0,100
5,0,7,378,2,100
0,0,0,0,0,100
5,0,1,159,1,97.47081712
2,1,2,367,2,92.78579356
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,2,34,1,100
0,0,0,0,0,100
23,1,16,1168,5,97.68392371
16,2,10,412,5,98.80478088
12,4,87,5973,49,97.14656291
6,0,2,67,0,100
3,0,6,249,1,100
1,0,1,32,1,100
0,0,0,0,0,100
0,0,0,0,0,100
15,8,57,2815,32,94.12429379
0,0,0,0,0,100
2,1,211,7208,31,99.59473151
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,11,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
68,8,35,6506,12,87.83482143
2,0,1,394,1,100
0,0,0,0,0,100
1,0,2,19,0,99.87531172
1,0,2,64,1,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,1,16,602,5,95.95505618
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,0,24,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,11,0,100
2,0,2,110,2,100
2,0,19,632,9,99.18200409
1,0,0,5,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,4,35,2,99.48717949
1,0,0,0,0,100
0,0,0,0,0,100
3,0,0,8,0,100
2,0,0,16,0,100
2,0,0,0,0,100
6,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
21,8,71,4422,52,92.10526316
2,0,1,162,1,100
18,17,220,10565,111,96.81742044
0,0,0,0,0,100
0,0,0,0,0,100
2,0,15,1243,12,97.37072743
3,0,4,503,2,100
0,0,0,0,0,100
3,0,1,93,1,99.90494297
1,0,1,26,0,100
0,0,0,0,0,100
1,0,1,181,1,99.90512334
0,0,0,0,0,100
1,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
23,3,3117,100063,369,88.63636364
33,3,104,4820,42,95.87852495
2,0,3,207,2,100
2,0,0,188,0,100
0,0,0,0,0,100
0,0,0,0,0,100
68,5,187,12157,38,92.40246407
2,0,1,74,0,98.65702479
1,1,7,323,3,99.78991597
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,10,278,5,99.8951782
2,2,7,902,7,98.828541
0,0,0,0,0,100
0,0,0,0,0,100
23,2,47,2154,32,98.4962406
15,0,9,680,4,100
1,1,13,1009,7,99.78723404
1,0,13,1009,7,99.78723404
10,0,3,26,7,100
0,0,0,0,0,100
0,0,0,0,0,100
